
Processing energy_r.C...
Primary TrackID: 1 Energy: 1
TrackID: 7 HitID: 23 energy: 0
TrackID: 7 HitID: 24 energy: 2.36016e-05
TrackID: 8 HitID: 7 energy: 4.72032e-05
TrackID: 8 HitID: 8 energy: 0.000826056
TrackID: 8 HitID: 9 energy: 7.08048e-05
TrackID: 8 HitID: 10 energy: 4.72032e-05
TrackID: 8 HitID: 11 energy: 2.36016e-05
TrackID: 8 HitID: 12 energy: 2.36016e-05
TrackID: 8 HitID: 13 energy: 2.36016e-05
TrackID: 8 HitID: 14 energy: 0
TrackID: 9 HitID: 81 energy: 2.36016e-05
TrackID: 10 HitID: 82 energy: 0
TrackID: 10 HitID: 83 energy: 0
Primary TrackID: 1 Energy: 1
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 2 HitID: 54 energy: 0.00472032
TrackID: 2 HitID: 54 energy: 0.00472032
TrackID: 2 HitID: 54 energy: 0.00110928
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.00472032
TrackID: 2 HitID: 55 energy: 0.000684447
TrackID: 2 HitID: 56 energy: 0.00472032
TrackID: 2 HitID: 56 energy: 0.00472032
TrackID: 2 HitID: 56 energy: 0.00266698
TrackID: 2 HitID: 57 energy: 0.00472032
TrackID: 2 HitID: 57 energy: 0.00472032
TrackID: 2 HitID: 57 energy: 0.00472032
TrackID: 2 HitID: 57 energy: 0.00136889
TrackID: 2 HitID: 58 energy: 0.00472032
TrackID: 2 HitID: 58 energy: 0.00472032
TrackID: 2 HitID: 58 energy: 0.00472032
TrackID: 2 HitID: 58 energy: 0.00472032
TrackID: 2 HitID: 58 energy: 0
TrackID: 2 HitID: 59 energy: 0.00472032
TrackID: 2 HitID: 59 energy: 0.00472032
TrackID: 2 HitID: 59 energy: 0.0014633
TrackID: 2 HitID: 60 energy: 0.00472032
TrackID: 2 HitID: 60 energy: 0.00472032
TrackID: 2 HitID: 60 energy: 0.00276139
TrackID: 2 HitID: 61 energy: 0.00472032
TrackID: 2 HitID: 61 energy: 0.00472032
TrackID: 2 HitID: 61 energy: 0.00472032
TrackID: 2 HitID: 61 energy: 0.0044135
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.000330422
TrackID: 2 HitID: 63 energy: 0.00472032
TrackID: 2 HitID: 63 energy: 0.000637243
TrackID: 2 HitID: 64 energy: 0.00472032
TrackID: 2 HitID: 64 energy: 0.00472032
TrackID: 2 HitID: 64 energy: 0.00472032
TrackID: 2 HitID: 64 energy: 0.00101487
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00155771
TrackID: 2 HitID: 66 energy: 0.00382346
TrackID: 2 HitID: 67 energy: 0.00351664
TrackID: 2 HitID: 68 energy: 0.00184093
TrackID: 2 HitID: 69 energy: 0.00155771
TrackID: 2 HitID: 70 energy: 0.00129809
TrackID: 2 HitID: 71 energy: 0.00134529
TrackID: 2 HitID: 72 energy: 0.000637243
TrackID: 2 HitID: 73 energy: 0.000637243
TrackID: 2 HitID: 74 energy: 0.000377626
TrackID: 3 HitID: 44 energy: 0.00172292
TrackID: 3 HitID: 45 energy: 0.00472032
TrackID: 3 HitID: 45 energy: 0.00127449
TrackID: 3 HitID: 46 energy: 0.00354024
TrackID: 3 HitID: 47 energy: 0.00349304
TrackID: 3 HitID: 48 energy: 0.00184093
TrackID: 3 HitID: 49 energy: 0.0028794
TrackID: 3 HitID: 50 energy: 7.08048e-05
TrackID: 3 HitID: 51 energy: 0
TrackID: 3 HitID: 52 energy: 0
TrackID: 3 HitID: 53 energy: 0.000873259
TrackID: 4 HitID: 38 energy: 9.44064e-05
TrackID: 4 HitID: 39 energy: 0.000991267
TrackID: 4 HitID: 40 energy: 0.000660845
TrackID: 4 HitID: 41 energy: 0.000613642
TrackID: 4 HitID: 42 energy: 0.000306821
TrackID: 4 HitID: 43 energy: 0.000236016
TrackID: 5 HitID: 32 energy: 0.000118008
TrackID: 5 HitID: 33 energy: 0.000354024
TrackID: 5 HitID: 34 energy: 0.000165211
TrackID: 5 HitID: 35 energy: 0.000236016
TrackID: 5 HitID: 36 energy: 0.000283219
TrackID: 5 HitID: 37 energy: 0.000236016
TrackID: 6 HitID: 25 energy: 0.000330422
TrackID: 6 HitID: 26 energy: 0.000708048
TrackID: 6 HitID: 27 energy: 0.00125089
TrackID: 6 HitID: 28 energy: 0.000424829
TrackID: 6 HitID: 29 energy: 0.000424829
TrackID: 6 HitID: 30 energy: 0.00014161
TrackID: 6 HitID: 31 energy: 0.000188813
TrackID: 7 HitID: 20 energy: 0.000118008
TrackID: 7 HitID: 21 energy: 0.000306821
TrackID: 7 HitID: 22 energy: 0.000259618
TrackID: 7 HitID: 23 energy: 0.00014161
TrackID: 7 HitID: 24 energy: 0.000330422
TrackID: 8 HitID: 18 energy: 2.36016e-05
TrackID: 8 HitID: 19 energy: 0.00014161
TrackID: 9 HitID: 8 energy: 0.000236016
TrackID: 9 HitID: 9 energy: 0.00205334
TrackID: 9 HitID: 10 energy: 0.00059004
TrackID: 9 HitID: 11 energy: 0.000377626
TrackID: 9 HitID: 12 energy: 0.000401227
TrackID: 9 HitID: 13 energy: 0.000188813
TrackID: 9 HitID: 14 energy: 2.36016e-05
TrackID: 9 HitID: 15 energy: 0
TrackID: 9 HitID: 16 energy: 0
TrackID: 9 HitID: 17 energy: 0.000212414
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 2 HitID: 75 energy: 0.00427189
TrackID: 2 HitID: 76 energy: 0.00472032
TrackID: 2 HitID: 76 energy: 0.00162851
TrackID: 2 HitID: 77 energy: 0.00472032
TrackID: 2 HitID: 77 energy: 0.00129809
TrackID: 2 HitID: 78 energy: 0.00472032
TrackID: 2 HitID: 78 energy: 0.000778853
TrackID: 2 HitID: 79 energy: 0.00472032
TrackID: 2 HitID: 79 energy: 0.000472032
TrackID: 2 HitID: 80 energy: 0.00472032
TrackID: 2 HitID: 80 energy: 0.00165211
TrackID: 2 HitID: 81 energy: 0.00457871
TrackID: 2 HitID: 82 energy: 0.00450791
TrackID: 2 HitID: 83 energy: 0.00472032
TrackID: 2 HitID: 83 energy: 0.00269058
TrackID: 2 HitID: 84 energy: 0.00472032
TrackID: 2 HitID: 84 energy: 0.00318622
TrackID: 2 HitID: 85 energy: 0.00472032
TrackID: 2 HitID: 85 energy: 0.00472032
TrackID: 2 HitID: 85 energy: 0.00472032
TrackID: 2 HitID: 85 energy: 0.00245457
TrackID: 2 HitID: 86 energy: 0.00472032
TrackID: 2 HitID: 86 energy: 0.00184093
TrackID: 2 HitID: 87 energy: 0.00472032
TrackID: 2 HitID: 87 energy: 0.00101487
TrackID: 2 HitID: 88 energy: 0.00472032
TrackID: 2 HitID: 88 energy: 4.72032e-05
TrackID: 2 HitID: 89 energy: 0.00472032
TrackID: 2 HitID: 89 energy: 0.00472032
TrackID: 2 HitID: 89 energy: 0.000188813
TrackID: 2 HitID: 90 energy: 0.00179372
TrackID: 2 HitID: 91 energy: 0.00118008
TrackID: 2 HitID: 92 energy: 0.00356384
TrackID: 2 HitID: 93 energy: 0.00313901
TrackID: 2 HitID: 94 energy: 0.00129809
TrackID: 2 HitID: 95 energy: 0.00073165
TrackID: 2 HitID: 96 energy: 0.00127449
TrackID: 2 HitID: 97 energy: 0.000849658
TrackID: 2 HitID: 98 energy: 0.000472032
TrackID: 2 HitID: 99 energy: 0.00059004
TrackID: 2 HitID: 100 energy: 0.000306821
TrackID: 2 HitID: 101 energy: 0.000165211
TrackID: 2 HitID: 102 energy: 0.000306821
TrackID: 3 HitID: 60 energy: 0.000283219
TrackID: 3 HitID: 61 energy: 0.00118008
TrackID: 3 HitID: 62 energy: 0.00134529
TrackID: 3 HitID: 63 energy: 0.000542837
TrackID: 3 HitID: 64 energy: 0.000802455
TrackID: 3 HitID: 65 energy: 0.000542837
TrackID: 3 HitID: 66 energy: 0.000354024
TrackID: 3 HitID: 67 energy: 0.000377626
TrackID: 3 HitID: 68 energy: 0.000306821
TrackID: 3 HitID: 69 energy: 9.44064e-05
TrackID: 3 HitID: 70 energy: 4.72032e-05
TrackID: 3 HitID: 71 energy: 2.36016e-05
TrackID: 3 HitID: 72 energy: 0
TrackID: 3 HitID: 73 energy: 0
TrackID: 3 HitID: 74 energy: 0.000306821
TrackID: 4 HitID: 46 energy: 0.00073165
TrackID: 4 HitID: 47 energy: 0.00238376
TrackID: 4 HitID: 48 energy: 0.00202974
TrackID: 4 HitID: 49 energy: 0.00245457
TrackID: 4 HitID: 50 energy: 0.00339863
TrackID: 4 HitID: 51 energy: 0.00162851
TrackID: 4 HitID: 52 energy: 0.00188813
TrackID: 4 HitID: 53 energy: 0.00129809
TrackID: 4 HitID: 54 energy: 0.000755251
TrackID: 4 HitID: 55 energy: 0.000708048
TrackID: 4 HitID: 56 energy: 0.000472032
TrackID: 4 HitID: 57 energy: 0.000330422
TrackID: 4 HitID: 58 energy: 0.000472032
TrackID: 4 HitID: 59 energy: 0.000542837
TrackID: 5 HitID: 37 energy: 4.72032e-05
TrackID: 5 HitID: 38 energy: 0.000236016
TrackID: 5 HitID: 39 energy: 0.00014161
TrackID: 5 HitID: 40 energy: 0.000188813
TrackID: 5 HitID: 41 energy: 9.44064e-05
TrackID: 5 HitID: 42 energy: 2.36016e-05
TrackID: 5 HitID: 43 energy: 0
TrackID: 5 HitID: 44 energy: 0
TrackID: 5 HitID: 45 energy: 0.000236016
TrackID: 6 HitID: 25 energy: 0.00014161
TrackID: 6 HitID: 26 energy: 0.000566439
TrackID: 6 HitID: 27 energy: 0.000613642
TrackID: 6 HitID: 28 energy: 0.000330422
TrackID: 6 HitID: 29 energy: 0.000306821
TrackID: 6 HitID: 30 energy: 0.000306821
TrackID: 6 HitID: 31 energy: 0.000165211
TrackID: 6 HitID: 32 energy: 0.00014161
TrackID: 6 HitID: 33 energy: 0.00014161
TrackID: 6 HitID: 34 energy: 4.72032e-05
TrackID: 6 HitID: 35 energy: 0
TrackID: 6 HitID: 36 energy: 0.000236016
TrackID: 7 HitID: 20 energy: 7.08048e-05
TrackID: 7 HitID: 21 energy: 0.000212414
TrackID: 7 HitID: 22 energy: 2.36016e-05
TrackID: 7 HitID: 23 energy: 9.44064e-05
TrackID: 7 HitID: 24 energy: 0.000236016
TrackID: 8 HitID: 7 energy: 0.000519235
TrackID: 8 HitID: 8 energy: 0.00257257
TrackID: 8 HitID: 9 energy: 0.00125089
TrackID: 8 HitID: 10 energy: 0.00118008
TrackID: 8 HitID: 11 energy: 0.000613642
TrackID: 8 HitID: 12 energy: 0.000472032
TrackID: 8 HitID: 13 energy: 0.000613642
TrackID: 8 HitID: 14 energy: 7.08048e-05
TrackID: 8 HitID: 15 energy: 0
TrackID: 8 HitID: 16 energy: 0
TrackID: 8 HitID: 17 energy: 0
TrackID: 8 HitID: 18 energy: 0
TrackID: 8 HitID: 19 energy: 0.000188813
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 3 HitID: 1 energy: 0.00472032
TrackID: 3 HitID: 1 energy: 0.000519235
TrackID: 3 HitID: 2 energy: 0.00472032
TrackID: 3 HitID: 2 energy: 0.00472032
TrackID: 3 HitID: 2 energy: 0.00193533
TrackID: 3 HitID: 3 energy: 0.00472032
TrackID: 3 HitID: 3 energy: 0.00472032
TrackID: 3 HitID: 3 energy: 0.00472032
TrackID: 3 HitID: 3 energy: 0.00467312
TrackID: 3 HitID: 4 energy: 0.00472032
TrackID: 3 HitID: 4 energy: 0.00467312
TrackID: 3 HitID: 5 energy: 0.00472032
TrackID: 3 HitID: 5 energy: 0.00472032
TrackID: 3 HitID: 5 energy: 0.00044843
TrackID: 3 HitID: 6 energy: 0.00472032
TrackID: 3 HitID: 6 energy: 0.00125089
TrackID: 3 HitID: 7 energy: 0.00472032
TrackID: 3 HitID: 7 energy: 0.000424829
TrackID: 3 HitID: 8 energy: 0.00472032
TrackID: 3 HitID: 8 energy: 0.000306821
TrackID: 3 HitID: 9 energy: 0.00304461
TrackID: 3 HitID: 10 energy: 0.00118008
TrackID: 3 HitID: 11 energy: 0.0015341
TrackID: 3 HitID: 12 energy: 0.00044843
TrackID: 3 HitID: 13 energy: 0.000212414
TrackID: 3 HitID: 14 energy: 0.000118008
TrackID: 3 HitID: 15 energy: 0.00101487
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 2 HitID: 60 energy: 0.00271418
TrackID: 2 HitID: 61 energy: 0.00472032
TrackID: 2 HitID: 61 energy: 0.00472032
TrackID: 2 HitID: 61 energy: 0.00165211
TrackID: 2 HitID: 62 energy: 0.00472032
TrackID: 2 HitID: 62 energy: 0.00221855
TrackID: 2 HitID: 63 energy: 0.00472032
TrackID: 2 HitID: 63 energy: 0.00396507
TrackID: 2 HitID: 64 energy: 0.00472032
TrackID: 2 HitID: 64 energy: 0.00313901
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00472032
TrackID: 2 HitID: 65 energy: 0.00337503
TrackID: 2 HitID: 66 energy: 0.00191173
TrackID: 2 HitID: 67 energy: 0.00271418
TrackID: 2 HitID: 68 energy: 0.00214775
TrackID: 2 HitID: 69 energy: 0.000873259
TrackID: 2 HitID: 70 energy: 0.000684447
TrackID: 2 HitID: 71 energy: 0.00115648
TrackID: 2 HitID: 72 energy: 0.000354024
TrackID: 3 HitID: 41 energy: 0.00472032
TrackID: 3 HitID: 41 energy: 0.0029266
TrackID: 3 HitID: 42 energy: 0.00472032
TrackID: 3 HitID: 42 energy: 0.000849658
TrackID: 3 HitID: 43 energy: 0.00472032
TrackID: 3 HitID: 43 energy: 0.00266698
TrackID: 3 HitID: 44 energy: 0.00472032
TrackID: 3 HitID: 44 energy: 0.00472032
TrackID: 3 HitID: 44 energy: 0.00472032
TrackID: 3 HitID: 44 energy: 0.00254897
TrackID: 3 HitID: 45 energy: 0.00472032
TrackID: 3 HitID: 45 energy: 0.00365825
TrackID: 3 HitID: 46 energy: 0.00335143
TrackID: 3 HitID: 47 energy: 0.00191173
TrackID: 3 HitID: 48 energy: 0.00413028
TrackID: 3 HitID: 49 energy: 0.00259618
TrackID: 3 HitID: 50 energy: 0.00236016
TrackID: 3 HitID: 51 energy: 0.00252537
TrackID: 3 HitID: 52 energy: 0.000873259
TrackID: 3 HitID: 53 energy: 0.00106207
TrackID: 3 HitID: 54 energy: 0.0014633
TrackID: 3 HitID: 55 energy: 0.00108567
TrackID: 3 HitID: 56 energy: 0.000118008
TrackID: 3 HitID: 57 energy: 0
TrackID: 3 HitID: 58 energy: 2.36016e-05
TrackID: 3 HitID: 59 energy: 0.000259618
TrackID: 4 HitID: 20 energy: 0.000967666
TrackID: 4 HitID: 21 energy: 0.00464952
TrackID: 4 HitID: 22 energy: 0.00283219
TrackID: 4 HitID: 23 energy: 0.00384706
TrackID: 4 HitID: 24 energy: 0.00379986
TrackID: 4 HitID: 25 energy: 0.00413028
TrackID: 4 HitID: 26 energy: 0.00228936
TrackID: 4 HitID: 27 energy: 0.00266698
TrackID: 4 HitID: 28 energy: 0.00186453
TrackID: 4 HitID: 29 energy: 0.00224215
TrackID: 4 HitID: 30 energy: 0.00120368
TrackID: 4 HitID: 31 energy: 0.00101487
TrackID: 4 HitID: 32 energy: 0.000896861
TrackID: 4 HitID: 33 energy: 0.000424829
TrackID: 4 HitID: 34 energy: 0.000519235
TrackID: 4 HitID: 35 energy: 0.000330422
TrackID: 4 HitID: 36 energy: 0.000118008
TrackID: 4 HitID: 37 energy: 0.00014161
TrackID: 4 HitID: 38 energy: 0
TrackID: 4 HitID: 39 energy: 0
TrackID: 4 HitID: 40 energy: 0.000330422
TrackID: 5 HitID: 4 energy: 0.00101487
TrackID: 5 HitID: 5 energy: 0.00309181
TrackID: 5 HitID: 6 energy: 0.00358744
TrackID: 5 HitID: 7 energy: 0.00266698
TrackID: 5 HitID: 8 energy: 0.00420109
TrackID: 5 HitID: 9 energy: 0.00221855
TrackID: 5 HitID: 10 energy: 0.00174652
TrackID: 5 HitID: 11 energy: 0.00127449
TrackID: 5 HitID: 12 energy: 0.00160491
TrackID: 5 HitID: 13 energy: 0.000755251
TrackID: 5 HitID: 14 energy: 0.000519235
TrackID: 5 HitID: 15 energy: 0.000566439
TrackID: 5 HitID: 16 energy: 0.000330422
TrackID: 5 HitID: 17 energy: 4.72032e-05
TrackID: 5 HitID: 18 energy: 9.44064e-05
TrackID: 5 HitID: 19 energy: 0.000306821
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 2 HitID: 66 energy: 0.00472032
TrackID: 2 HitID: 66 energy: 0.000354024
TrackID: 2 HitID: 67 energy: 0.00472032
TrackID: 2 HitID: 67 energy: 0.00158131
TrackID: 2 HitID: 68 energy: 0.00472032
TrackID: 2 HitID: 68 energy: 0.00346944
TrackID: 2 HitID: 69 energy: 0.00472032
TrackID: 2 HitID: 69 energy: 0.00472032
TrackID: 2 HitID: 69 energy: 0.00210054
TrackID: 2 HitID: 70 energy: 0.00472032
TrackID: 2 HitID: 70 energy: 0.00344583
TrackID: 2 HitID: 71 energy: 0.00472032
TrackID: 2 HitID: 71 energy: 0.00266698
TrackID: 2 HitID: 72 energy: 0.00472032
TrackID: 2 HitID: 72 energy: 0.00252537
TrackID: 2 HitID: 73 energy: 0.00472032
TrackID: 2 HitID: 73 energy: 0.00420109
TrackID: 2 HitID: 74 energy: 0.00472032
TrackID: 2 HitID: 74 energy: 0.00472032
TrackID: 2 HitID: 74 energy: 0.00162851
TrackID: 2 HitID: 75 energy: 0.00472032
TrackID: 2 HitID: 75 energy: 0.0029502
TrackID: 2 HitID: 76 energy: 0.00472032
TrackID: 2 HitID: 76 energy: 0.00472032
TrackID: 2 HitID: 76 energy: 0.00160491
TrackID: 2 HitID: 77 energy: 0.00472032
TrackID: 2 HitID: 77 energy: 0.000188813
TrackID: 2 HitID: 78 energy: 0.00472032
TrackID: 2 HitID: 78 energy: 0.000566439
TrackID: 2 HitID: 79 energy: 0.00472032
TrackID: 2 HitID: 79 energy: 0.00014161
TrackID: 2 HitID: 80 energy: 0.00379986
TrackID: 2 HitID: 81 energy: 0.00472032
TrackID: 2 HitID: 81 energy: 0.000377626
TrackID: 2 HitID: 82 energy: 0.00257257
TrackID: 2 HitID: 83 energy: 0.00257257
TrackID: 2 HitID: 84 energy: 0.00226575
TrackID: 2 HitID: 85 energy: 0.00155771
TrackID: 2 HitID: 86 energy: 0.00184093
TrackID: 2 HitID: 87 energy: 0.000991267
TrackID: 2 HitID: 88 energy: 0.000613642
TrackID: 2 HitID: 89 energy: 0.000519235
TrackID: 2 HitID: 90 energy: 0.000212414
TrackID: 2 HitID: 91 energy: 0.000330422
TrackID: 3 HitID: 64 energy: 0
TrackID: 3 HitID: 65 energy: 0.000259618
TrackID: 4 HitID: 52 energy: 0.00351664
TrackID: 4 HitID: 53 energy: 0.00285579
TrackID: 4 HitID: 54 energy: 0.00472032
TrackID: 4 HitID: 54 energy: 0.00250177
TrackID: 4 HitID: 55 energy: 0.000944064
TrackID: 4 HitID: 56 energy: 0.000778853
TrackID: 4 HitID: 57 energy: 0.000684447
TrackID: 4 HitID: 58 energy: 0.00044843
TrackID: 4 HitID: 59 energy: 0.000306821
TrackID: 4 HitID: 60 energy: 0.000118008
TrackID: 4 HitID: 61 energy: 2.36016e-05
TrackID: 4 HitID: 62 energy: 2.36016e-05
TrackID: 4 HitID: 63 energy: 0.000330422
TrackID: 5 HitID: 38 energy: 0.000306821
TrackID: 5 HitID: 39 energy: 0.00264338
TrackID: 5 HitID: 40 energy: 0.00169932
TrackID: 5 HitID: 41 energy: 0.000802455
TrackID: 5 HitID: 42 energy: 0.000967666
TrackID: 5 HitID: 43 energy: 0.000920463
TrackID: 5 HitID: 44 energy: 0.000566439
TrackID: 5 HitID: 45 energy: 0.000519235
TrackID: 5 HitID: 46 energy: 9.44064e-05
TrackID: 5 HitID: 47 energy: 7.08048e-05
TrackID: 5 HitID: 48 energy: 0
TrackID: 5 HitID: 49 energy: 0
TrackID: 5 HitID: 50 energy: 0
TrackID: 5 HitID: 51 energy: 0.000495634
TrackID: 6 HitID: 33 energy: 0
TrackID: 6 HitID: 34 energy: 0.000306821
TrackID: 6 HitID: 35 energy: 4.72032e-05
TrackID: 6 HitID: 36 energy: 7.08048e-05
TrackID: 6 HitID: 37 energy: 0.000519235
TrackID: 7 HitID: 29 energy: 0.00014161
TrackID: 7 HitID: 30 energy: 0.000566439
TrackID: 7 HitID: 31 energy: 0.000118008
TrackID: 7 HitID: 32 energy: 0.00044843
TrackID: 8 HitID: 21 energy: 0.000778853
TrackID: 8 HitID: 22 energy: 0.00236016
TrackID: 8 HitID: 23 energy: 0.00179372
TrackID: 8 HitID: 24 energy: 0.000967666
TrackID: 8 HitID: 25 energy: 0.000896861
TrackID: 8 HitID: 26 energy: 0.000495634
TrackID: 8 HitID: 27 energy: 0.000283219
TrackID: 8 HitID: 28 energy: 0.000755251
TrackID: 9 HitID: 8 energy: 0.00101487
TrackID: 9 HitID: 9 energy: 0.00464952
TrackID: 9 HitID: 10 energy: 0.00450791
TrackID: 9 HitID: 11 energy: 0.0014161
TrackID: 9 HitID: 12 energy: 0.0014869
TrackID: 9 HitID: 13 energy: 0.00193533
TrackID: 9 HitID: 14 energy: 0.00127449
TrackID: 9 HitID: 15 energy: 0.000802455
TrackID: 9 HitID: 16 energy: 0.000566439
TrackID: 9 HitID: 17 energy: 0.000424829
TrackID: 9 HitID: 18 energy: 0.000212414
TrackID: 9 HitID: 19 energy: 0.00044843
TrackID: 9 HitID: 20 energy: 0.000495634
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 1 HitID: 8 energy: 0
TrackID: 2 HitID: 64 energy: 0
TrackID: 2 HitID: 65 energy: 2.36016e-05
TrackID: 2 HitID: 66 energy: 0
TrackID: 2 HitID: 67 energy: 2.36016e-05
TrackID: 2 HitID: 68 energy: 0
TrackID: 2 HitID: 69 energy: 2.36016e-05
TrackID: 2 HitID: 70 energy: 0
TrackID: 2 HitID: 71 energy: 2.36016e-05
TrackID: 2 HitID: 72 energy: 0
TrackID: 2 HitID: 73 energy: 2.36016e-05
TrackID: 2 HitID: 74 energy: 2.36016e-05
TrackID: 2 HitID: 75 energy: 0
TrackID: 2 HitID: 76 energy: 2.36016e-05
TrackID: 2 HitID: 77 energy: 2.36016e-05
TrackID: 2 HitID: 78 energy: 0
TrackID: 2 HitID: 79 energy: 0
TrackID: 2 HitID: 80 energy: 2.36016e-05
TrackID: 2 HitID: 81 energy: 0
TrackID: 2 HitID: 82 energy: 0
TrackID: 2 HitID: 83 energy: 0
TrackID: 2 HitID: 84 energy: 0
TrackID: 2 HitID: 85 energy: 0
TrackID: 2 HitID: 86 energy: 0
TrackID: 2 HitID: 87 energy: 0
TrackID: 2 HitID: 88 energy: 0
TrackID: 2 HitID: 89 energy: 0
TrackID: 2 HitID: 90 energy: 0
TrackID: 2 HitID: 91 energy: 0
TrackID: 2 HitID: 92 energy: 0
TrackID: 2 HitID: 93 energy: 0
TrackID: 2 HitID: 94 energy: 0
TrackID: 2 HitID: 95 energy: 0
TrackID: 3 HitID: 53 energy: 0
TrackID: 3 HitID: 54 energy: 0
TrackID: 3 HitID: 55 energy: 0
TrackID: 3 HitID: 56 energy: 0
TrackID: 3 HitID: 57 energy: 0
TrackID: 3 HitID: 58 energy: 0
TrackID: 3 HitID: 59 energy: 0
TrackID: 3 HitID: 60 energy: 0
TrackID: 3 HitID: 61 energy: 0
TrackID: 3 HitID: 62 energy: 0
TrackID: 3 HitID: 63 energy: 0
TrackID: 4 HitID: 45 energy: 0
TrackID: 4 HitID: 46 energy: 0
TrackID: 4 HitID: 47 energy: 0
TrackID: 4 HitID: 48 energy: 0
TrackID: 4 HitID: 49 energy: 0
TrackID: 4 HitID: 50 energy: 0
TrackID: 4 HitID: 51 energy: 0
TrackID: 4 HitID: 52 energy: 0
TrackID: 5 HitID: 37 energy: 0
TrackID: 5 HitID: 38 energy: 2.36016e-05
TrackID: 5 HitID: 39 energy: 0
TrackID: 5 HitID: 40 energy: 0
TrackID: 5 HitID: 41 energy: 0
TrackID: 5 HitID: 42 energy: 0
TrackID: 5 HitID: 43 energy: 0
TrackID: 5 HitID: 44 energy: 0
TrackID: 6 HitID: 36 energy: 0
TrackID: 7 HitID: 24 energy: 0
TrackID: 7 HitID: 25 energy: 0
TrackID: 7 HitID: 26 energy: 0
TrackID: 7 HitID: 27 energy: 0
TrackID: 7 HitID: 28 energy: 0
TrackID: 7 HitID: 29 energy: 0
TrackID: 7 HitID: 30 energy: 0
TrackID: 7 HitID: 31 energy: 0
TrackID: 7 HitID: 32 energy: 0
TrackID: 7 HitID: 33 energy: 0
TrackID: 7 HitID: 34 energy: 0
TrackID: 7 HitID: 35 energy: 0
TrackID: 8 HitID: 22 energy: 0
TrackID: 8 HitID: 23 energy: 0
TrackID: 9 HitID: 20 energy: 0
TrackID: 9 HitID: 21 energy: 0
TrackID: 10 HitID: 9 energy: 0
TrackID: 10 HitID: 10 energy: 2.36016e-05
TrackID: 10 HitID: 11 energy: 0
TrackID: 10 HitID: 12 energy: 2.36016e-05
TrackID: 10 HitID: 13 energy: 0
